,USDLTL,USDPHP,USDHKD,USDCHF,USDBGN,USDHRK,USDCNY,USDJPY,USDPLN,USDNZD,USDLVL,USDZAR,USDAUD,USDIDR,USDSEK,USDINR,USDTHB,USDMXN,USDEUR,USDCAD,USDHUF,USDCZK,USDBRL,USDRON,USDILS,USDKRW,USDTRY,USDGBP,USDDKK,USDSGD,USDNOK,USDRUB,USDMYR,time,USDUSD,USDEEK
42,2.6964,40.84,7.7642,0.95236,1.5274,5.9305,6.2163,94.393,3.2647,1.1955,0.54799,9.2308,0.96119,9721.2,6.525,54.327,29.225,12.351,0.78094,1.0169,237.74,20.102,2.0073,3.4512,3.6454,1112.8,1.8127,0.66037,5.8222,1.2417,5.8665,31.052,3.0964,2013-03-31 00:00:00+00:00,1.0,
43,2.6964,40.84,7.7642,0.95236,1.5274,5.9305,6.2163,94.393,3.2647,1.1955,0.54799,9.2308,0.96119,9721.2,6.525,54.327,29.225,12.351,0.78094,1.0169,237.74,20.102,2.0073,3.4512,3.6454,1112.8,1.8127,0.66037,5.8222,1.2417,5.8665,31.052,3.0964,2013-04-01 00:00:00+00:00,1.0,
44,2.6891,40.871,7.7417,0.94696,1.5232,5.9239,6.1822,93.294,3.259,1.1861,0.54611,9.2048,0.95537,9739.1,6.4727,54.177,29.3,12.327,0.77882,1.0129,235.13,20.157,2.0181,3.4412,3.6128,1118.5,1.8045,0.65958,5.8059,1.2342,5.8154,31.157,3.0778,2013-04-02 00:00:00+00:00,1.0,
45,2.6937,41.262,7.7636,0.94828,1.5258,5.9358,6.201,95.421,3.2678,1.1911,0.54697,9.2456,0.95881,9757.4,6.5583,54.898,29.37,12.295,0.78015,1.0151,235.12,20.141,2.0204,3.4523,3.6306,1127.9,1.8081,0.66114,5.8148,1.2417,5.8114,31.638,3.0799,2013-04-04 00:00:00+00:00,1.0,
46,2.6675,41.192,7.7658,0.93928,1.511,5.8792,6.2015,96.176,3.2245,1.1904,0.54172,9.1494,0.9599,9745.8,6.4883,54.835,29.31,12.332,0.77256,1.0147,232.64,19.903,2.0133,3.4159,3.6277,1132.7,1.7996,0.65598,5.7592,1.2396,5.7536,31.565,3.0606,2013-04-05 00:00:00+00:00,1.0,
47,2.6319,41.028,7.7628,0.92896,1.4908,5.8086,6.1962,99.39,3.1347,1.1541,0.53426,8.9115,0.94603,9709.6,6.3372,54.525,29.03,12.094,0.76225,1.0094,226.99,19.774,1.9724,3.3493,3.6298,1129.2,1.7886,0.64944,5.6836,1.2366,5.6994,30.815,3.0335,2013-04-11 00:00:00+00:00,1.0,
48,2.6454,41.299,7.7613,0.93219,1.4985,5.8324,6.1921,99.249,3.1443,1.1632,0.53678,8.9304,0.94974,9708.1,6.3878,54.525,29.03,12.063,0.76617,1.0119,225.67,19.821,1.9788,3.3627,3.6292,1129.9,1.7892,0.65101,5.7119,1.2376,5.7325,31.026,3.0388,2013-04-12 00:00:00+00:00,1.0,
49,2.6454,41.299,7.7613,0.93219,1.4985,5.8324,6.1921,99.249,3.1443,1.1632,0.53678,8.9304,0.94974,9708.1,6.3878,54.525,29.03,12.063,0.76617,1.0119,225.67,19.821,1.9788,3.3627,3.6292,1129.9,1.7892,0.65101,5.7119,1.2376,5.7325,31.026,3.0388,2013-04-13 00:00:00+00:00,1.0,
50,2.6454,41.299,7.7613,0.93219,1.4985,5.8324,6.1921,99.249,3.1443,1.1632,0.53678,8.9304,0.94974,9708.1,6.3878,54.525,29.03,12.063,0.76617,1.0119,225.67,19.821,1.9788,3.3627,3.6292,1129.9,1.7892,0.65101,5.7119,1.2376,5.7325,31.026,3.0388,2013-04-14 00:00:00+00:00,1.0,
51,2.6675,40.695,7.7611,0.94391,1.511,5.8627,6.2158,95.403,3.2098,1.2138,0.54195,9.2189,0.96377,9718.8,6.4448,54.375,29.28,12.396,0.77256,1.0248,235.78,19.814,1.9806,3.4039,3.683,1112.9,1.8162,0.66119,5.7598,1.2499,5.81,30.85,3.1218,2013-03-19 00:00:00+00:00,1.0,
52,2.6675,41.192,7.7658,0.93928,1.511,5.8792,6.2015,96.176,3.2245,1.1904,0.54172,9.1494,0.9599,9745.8,6.4883,54.835,29.31,12.332,0.77256,1.0147,232.64,19.903,2.0133,3.4159,3.6277,1132.7,1.7996,0.65598,5.7592,1.2396,5.7536,31.565,3.0606,2013-04-07 00:00:00+00:00,1.0,
53,2.6513,41.302,7.764,0.93435,1.5018,5.8438,6.2033,98.641,3.17,1.1829,0.53828,9.034,0.96007,9747.4,6.4187,54.537,29.23,12.139,0.76787,1.017,228.63,19.755,1.979,3.3844,3.6191,1143.5,1.7885,0.65342,5.7239,1.2407,5.7237,31.287,3.0575,2013-04-08 00:00:00+00:00,1.0,
54,2.6385,41.016,7.7633,0.93099,1.4946,5.8173,6.1939,99.106,3.1453,1.1692,0.53546,8.9332,0.94979,9689.0,6.3696,54.525,29.02,12.146,0.76418,1.0156,227.81,19.765,1.9844,3.354,3.6342,1131.4,1.7859,0.65322,5.6979,1.238,5.7359,30.877,3.0298,2013-04-10 00:00:00+00:00,1.0,
55,2.6847,41.045,7.7599,0.9493,1.5207,5.9051,6.2125,94.277,3.2482,1.1963,0.54553,9.2629,0.9535,9736.4,6.4972,54.433,29.301,12.317,0.77754,1.0188,236.76,20.065,2.0134,3.4344,3.6356,1107.8,1.8184,0.66014,5.7948,1.2416,5.8296,30.897,3.0962,2013-03-26 00:00:00+00:00,1.0,
56,2.6964,40.84,7.7642,0.95236,1.5274,5.9305,6.2163,94.393,3.2647,1.1955,0.54799,9.2308,0.96119,9721.2,6.525,54.327,29.225,12.351,0.78094,1.0169,237.74,20.102,2.0073,3.4512,3.6454,1112.8,1.8127,0.66037,5.8222,1.2417,5.8665,31.052,3.0964,2013-03-29 00:00:00+00:00,1.0,
57,2.6675,41.192,7.7658,0.93928,1.511,5.8792,6.2015,96.176,3.2245,1.1904,0.54172,9.1494,0.9599,9745.8,6.4883,54.835,29.31,12.332,0.77256,1.0147,232.64,19.903,2.0133,3.4159,3.6277,1132.7,1.7996,0.65598,5.7592,1.2396,5.7536,31.565,3.0606,2013-04-06 00:00:00+00:00,1.0,
58,2.6916,40.914,7.7623,0.94847,1.5246,5.9319,6.2082,93.514,3.2669,1.1848,0.54669,9.2345,0.95393,9747.4,6.4903,54.455,29.37,12.26,0.77954,1.0142,235.5,20.134,2.02,3.4462,3.6199,1116.9,1.8089,0.66137,5.8103,1.2377,5.8049,31.583,3.0823,2013-04-03 00:00:00+00:00,1.0,
59,2.6479,41.172,7.7646,0.93558,1.4998,5.8378,6.2024,98.865,3.1675,1.1776,0.5375,8.9571,0.95468,9722.4,6.4237,54.54,29.04,12.16,0.76687,1.0149,228.26,19.756,1.9897,3.3809,3.6303,1139.1,1.7828,0.65318,5.7176,1.2391,5.7408,31.136,3.0364,2013-04-09 00:00:00+00:00,1.0,
60,2.6396,41.189,7.7624,0.9286,1.4951,5.8199,6.1869,97.722,3.1444,1.1806,0.53559,9.0666,0.96117,9718.7,6.3989,54.629,29.08,12.131,0.76447,1.0206,224.99,19.772,1.9765,3.3496,3.6274,1121.1,1.7899,0.65201,5.6999,1.2372,5.7339,31.38,3.04,2013-04-15 00:00:00+00:00,1.0,
61,2.6299,41.366,7.7622,0.92642,1.4897,5.7982,6.1831,97.776,3.1351,1.1782,0.53363,9.1462,0.96382,9719.7,6.3846,54.105,28.97,12.167,0.76167,1.0215,224.5,19.703,1.9867,3.3333,3.6273,1114.4,1.7918,0.65268,5.6788,1.2354,5.7293,31.324,3.0401,2013-04-16 00:00:00+00:00,1.0,
62,2.6299,41.296,7.763,0.92536,1.4897,5.7986,6.1727,97.959,3.1339,1.1807,0.53355,9.1629,0.96664,9712.1,6.4534,54.205,28.86,12.2,0.76167,1.0259,224.34,19.692,1.9875,3.3284,3.626,1119.7,1.7937,0.65603,5.6792,1.2351,5.7544,31.476,3.0351,2013-04-17 00:00:00+00:00,1.0,
63,2.6327,41.136,7.7636,0.9284,1.4913,5.7925,6.1777,99.283,3.1264,1.1808,0.53389,9.1514,0.96775,9708.7,6.4895,53.973,28.6,12.23,0.76249,1.025,227.4,19.716,2.0128,3.3308,3.6283,1119.9,1.797,0.65147,5.685,1.2359,5.7922,31.491,3.0355,2013-04-20 00:00:00+00:00,1.0,
64,2.6327,41.136,7.7636,0.9284,1.4913,5.7925,6.1777,99.283,3.1264,1.1808,0.53389,9.1514,0.96775,9708.7,6.4895,53.973,28.6,12.23,0.76249,1.025,227.4,19.716,2.0128,3.3308,3.6283,1119.9,1.797,0.65147,5.685,1.2359,5.7922,31.491,3.0355,2013-04-21 00:00:00+00:00,1.0,
65,2.6548,41.256,7.7641,0.94587,1.5038,5.8485,6.1781,99.539,3.1806,1.1815,0.53829,9.1804,0.97332,9717.1,6.6035,54.22,28.93,12.256,0.76888,1.0261,230.32,19.921,2.0235,3.3442,3.6189,1117.8,1.805,0.65547,5.7322,1.2415,5.9034,31.492,3.0481,2013-04-24 00:00:00+00:00,1.0,
66,2.6175,40.892,7.7598,0.92821,1.4827,5.748,6.156,97.824,3.1434,1.1781,0.53074,8.9895,0.97574,9736.9,6.4819,53.765,29.43,12.17,0.75809,1.0071,225.21,19.445,2.0033,3.2761,3.5668,1101.4,1.7916,0.6418,5.6523,1.2334,5.7513,31.234,3.0504,2013-05-02 00:00:00+00:00,1.0,
67,2.6329,40.845,7.7589,0.93297,1.4914,5.7821,6.1556,98.063,3.1575,1.1736,0.5337,8.9553,0.97453,9741.5,6.505,53.925,29.58,12.17,0.76254,1.0114,225.8,19.552,2.0081,3.2813,3.5574,1096.4,1.7953,0.6429,5.6835,1.2333,5.8011,31.128,3.0342,2013-05-05 00:00:00+00:00,1.0,
68,2.6343,40.857,7.7592,0.9369,1.4922,5.7771,6.1666,99.321,3.1674,1.1734,0.53414,8.9799,0.97665,9733.7,6.5265,54.165,29.56,12.087,0.76295,1.0084,226.14,19.603,2.0121,3.291,3.5692,1095.1,1.7962,0.64324,5.6861,1.2317,5.8167,31.083,2.9775,2013-05-06 00:00:00+00:00,1.0,
69,2.6343,40.884,7.7615,0.94095,1.4922,5.7761,6.1538,99.168,3.1678,1.1844,0.53422,9.0578,0.98482,9736.0,6.507,54.088,29.54,12.126,0.76295,1.0052,226.02,19.644,2.0122,3.2929,3.5634,1091.2,1.8001,0.64408,5.686,1.2327,5.8286,31.014,2.9808,2013-05-07 00:00:00+00:00,1.0,
70,2.6273,40.838,7.7599,0.93517,1.4882,5.7611,6.1309,98.767,3.1397,1.1817,0.53272,8.9819,0.97839,9725.3,6.4979,54.281,29.42,11.988,0.76092,1.0036,223.05,19.626,2.0055,3.2912,3.5516,1091.5,1.7945,0.64248,5.6715,1.2284,5.7438,31.144,2.974,2013-05-09 00:00:00+00:00,1.0,
